query	alternative query	main passage	citation
亲子沟通的重要性？		"亲子沟通作为父母与子女之间进行互动的手段之一，对家庭系统能否保持长久稳定起到重要作用。父母与子女之间进行科学、有效的沟通有助于及时缓解孩子的心理压力，改善亲子关系，从而促进孩子生理和心理上同步健康成长(Barnes & Olson, 1985)。而亲子沟通的重要手段之一就是对于情绪的表达。情绪表达是一种不会随着时间的流逝和科技的发展而退化的社会行为，它的字面意思是人们用各种方式对于情绪进行表达，是对自身情绪的一种反映，是在社会生活中人与人之间相互沟通、生存的基础。基于此，本研究选取高中生作为研究对象探究亲子沟通、情绪表达与心理健康状况的关系。"	"[1]李维双. 亲子沟通对高中生心理健康的影响：情绪表达的中介作用[D].天津师范大学,2021."
怎么定义亲自沟通？		"Barnes 和 Olson(1985)最早提出关于亲子沟通的概念，认为亲子沟通是一个动态过程，沟通则作为增强家庭成员之间亲密关系的纽带，可以有效应对家庭冲突和家庭矛盾，从而维护家庭功能的正常发挥。Fitzpatrick 和 David(1994)则在亲子沟通是个动态过程的基础上增加了“交换”的概念，认为其内涵是亲子之间将各自所掌握的信息资源进行交换。雷雳和王争艳(2002)等人认为亲子沟通不应只是亲子之间信息资源的交换，还应该充分发挥家庭的教育功能，父母在尊重子女人格的前提下，用沟通的手段来达到互相了解、增强彼此信任的目的。房超和方晓义(2003)认为单独探讨亲子沟通是片面的，应当将父母和子女之间的亲子关系作为前提，把整个家庭看作是一个系统，把亲子沟通放置其中加以探讨二者之间的相互作用机制。安伯欣(2004)通过研究亲子沟通的缘起与发展指出沟通是相对具体的行为，例如聊天、争辩、批评、公开表述情感等可以被明显观察到的行为，其中当然也包括父母与子女之间的沟通，即亲子沟通。池丽萍(2011)提出了亲子沟通的三层次理论模型，在该理论模型中，父亲、母亲和子女的沟通能力是基本元素，其中沟通能力包括表达能力和倾听能力，各元素之间的相互影响和相互配合为良好的亲子沟通打下基础。

"	"[1]李维双. 亲子沟通对高中生心理健康的影响：情绪表达的中介作用[D].天津师范大学,2021."
家庭与高中生心理健康的关联？		"艾婷(2020)在分析个体心理健康的影响因素时，认为主要是通过主观和客观这两大类因素作用到心理健康状况的。其中客观因素主要包括年龄、性别、是否是独生子女、户籍地、婚姻状况等人口学变量以及个体所处的家庭环境、教育环境、社会背景和个人生活方式、遭遇的生活事件等。Shek(1997)早在 1997 年就通过家庭与心理健康之间关系方面的相关研究，证实了孩子的心理健康水平的确是会受到家庭因素影响的这一观点。当高中生遇到挫折和困难时，父母选择用较为积极的应对方式去鼓励他们的家庭中，其心理健康水平更高(崔哲, 张建新, 2005)。辛方兴和王家同(2007)通过探讨父母的教养方式与高中生心理健康的关系发现，当父母同时选择用情感温暖的方式对高中生子女进行教养时，有利于其形成开朗、自信、乐观积极等正向的性格特点，从而促进养成良好的心理健康状况，这其中母亲的作用更加明显，尤其建议母亲多采用情感温暖的教养方式与子女相处。王姣(2016)选取高中生为被试，研究家庭环境对其心理健康状况的影响，在进行了一系列分析后发现，家庭环境不仅能直接影响高中生的心理健康水平，而且可以通过对积极心理品质的影响进一步影响其心理健康水平。
"	"[1]李维双. 亲子沟通对高中生心理健康的影响：情绪表达的中介作用[D].天津师范大学,2021."
性别会影响孩子与父母的沟通频率嘛		"在与父母的沟通中男孩子更加被动，相对来说，女孩子与父母的交流更多。我认为这种结果的产生可能和男、女生不同的家庭教养方式有关。一直以来，我国的家庭教育观更偏向锻炼男孩子的抗压能力与独自解决问题的能力，要有“男子汉大丈夫”的作风；而对于女孩子在这方面的要求则没有这么高，在遇到问题时，女孩子可以选择求助比自己能力相对较强的人。长此以往，可能会形成男孩子有什么事情更倾向内化于心，不善于求助和沟通的习惯，因此在亲子沟通这方面表现得不如女孩子积极。
"	"[1]李维双. 亲子沟通对高中生心理健康的影响：情绪表达的中介作用[D].天津师范大学,2021."
孩子的年龄如何影响亲子沟通？		"对于年级的讨论在杨晓莉和邹泓(2008)等人的研究中也有所表明，在高中年级，高一学生对父母的理解性不高，但更善于在沟通中解决矛盾与分歧，高二学生则体现出在沟通中可以对父母表示较高的理解性。这与本研究的结论一致。其实出现这种状况的原因不难解释，高二年级的学生相对于高一年级的学生来说，首先是年龄稍长一些，心理成熟度会更高一些，对于父母的理解程度也会更高；其次是高中知识的难度是随着年级的增长而逐渐加深的，高二年级的知识难度要高于高一年级，这种情况下，高二年级的学生可能会更需要父母在学业上的帮助与指导，以及对于学业焦虑的开导与慰藉。
"	"[1]李维双. 亲子沟通对高中生心理健康的影响：情绪表达的中介作用[D].天津师范大学,2021."
孩子的性别对其心理健康的影响？		"在心理健康状况方面，男女性别差异只在抑郁、焦虑及心理不平衡三维度有所体现。这一观点与崔哲和张建新(2005)的研究结果也不谋而合，他们通过研究发现，女生的抑郁和焦虑水平要高于男生。对于这一结果，艾婷(2020)指出，女生之所以比男生更容易产生抑郁、焦虑等心理健康问题，是和性别上天然的生理差异以及社会背景有密切联系的。由于生理差异，在面对同一特殊事件或负面压力时，女生更容易把矛头指向自身，从而导致负面情绪产生，心理健康水平下降；从社会大背景来看，一直以来对于男生的要求就更倾向于要锻炼更强的抗压能力，不能时常表现出“我不行”的一面。
"	"[1]李维双. 亲子沟通对高中生心理健康的影响：情绪表达的中介作用[D].天津师范大学,2021."
亲子沟通对孩子心理健康的影响		"亲子沟通与情绪表达和心理健康水平总体情况均显著相关，而情绪表达仅和心理健康状况中的偏执、敌对和学习压力感这三方面相关，因此，可以推导出亲子沟通、情绪表达以及偏执、敌对、学习压力感两两相关。也就是说，当亲子沟通良好时，高中生会较少产生偏执、敌对、学习压力这三方面的心理问题；而情绪表达良好时，可能会伴随着敌对和学习压力的心理状况，但较少产生偏执的心理状况。对亲子沟通与心理健康状况二者的关系进行分析，亲子沟通变量中的问题性沟通维度与心理健康状况的各个维度均呈现显著负相关；开放性沟通维度除了与强迫的心理状况没有显著相关外，与其他 9 项均显著负相关；亲子沟通总分与心理健康状况总分之间也呈显著负相关。本研究的结果表明：开放性沟通与问题性沟通及总分分数越高，心理健康状况分数越低，心理健康水平越高，心理状况越良好。这与孔金旺和梁修云(2011)等人的研究结果一致，他们认为亲子沟通的缺乏可能会导致青少年众多心理健康问题的产生，这一结论是通过研究亲子沟通良好的学生与亲子沟通不良的学生在心理健康状况中的抑郁、焦虑、学习压力感等维度存在显著差异得出。
"	"[1]李维双. 亲子沟通对高中生心理健康的影响：情绪表达的中介作用[D].天津师范大学,2021."
原生家庭对孩子的成长有哪些影响		"曹爱琳（2019）指出原生家庭是个体最初成长和学习的环境,也与个体的情感表达、行为模式、依恋风格以及亲密关系等有着密不可分的联系。在学前教育阶段,幼儿绝大多数时间都是在家庭中度过的。父母是孩子的第一任老师,是孩子成长中的重要成员,父母的个性、价值观、教养方式、行为模式及家庭亲子关系等都会不同程度地影响幼儿发展的方方面面,直接影响幼儿的心理发展,从而作用于他们的行为。发扬原生家庭对幼儿行为的积极影响,规避消极影响,是帮助幼儿健康成长的必要手段。[9]陈琳（2019）指出在实际的教育教学中,很多教师和家长都忽略了对于学生亲子关系的维护和培养,使学生慢慢失去了交流的兴趣,产生隔阂,进而影响到了学习,因此,教师和家长一定要从各个方面注重对亲子关系的培养,促进学生学习效果的提升。"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
家庭对孩子行为习惯的影响	家庭如何影响孩子的行为习惯	"Sue Zupanec 等（2010）做出明确，家庭教育、学校与社会环境都会对孩子的学习
习惯产生影响，同时做出这样的论断，即在根源上孩子不良习惯的形成是家庭教育环
境不足导致的。问题关键性能够被家长与学校认知到，但在对孩子的学习习惯与行为
进行规范时，标准的选择上十分困难。[11]在马卡连柯的相关研究中，学习习惯也受到
关注。通过他的研究可以得知，在人的成长与发展过程中，经验与学习习惯会起到特
别重要的作用。他认为在对孩子培养上，需要在他们认知事物上给予正确引导，也要
对他们良好学习习惯的养成予以支持。该目标在实现上，家庭与学校双方必须都进行
支持。而在两个因素中，最为关键的是家庭，作为家庭环境中的父母，成年人要做好
表率作用，注意到他们的言行对孩子潜移默化的影响。在日本教育家福泽渝吉看来，
家庭是习惯的学校，父母是习惯的教师。
"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
亲子沟通频率如何影响孩子的学习行为		"家长与学生沟通互动的频率在学生学习行为方面存在较多的影响作用，亲子沟通
频繁，则学生能够养成良好的学习习惯，对待学习也就更有信心。家长需要与孩子进
行良好的沟通与互动，积极影响学生的学习习惯，进而帮助孩子养成健康的学习习惯。
现实生活中，“代沟”很大程度上就是父母与子女间“长幼观念”以及缺乏沟通的情况所
致，父母多数是处在权威的状态，会将自身的观念以及要求等强加到子女的身上，而
对于子女的需要与情感变化漠不关心，长久下去就会出现严重的“代沟”问题。为更好
地处理“代沟”造成的消极影响，父母需要与子女进行必要的沟通与互动，让孩子能够
感受到关怀与爱护，理解与把握孩子的心态变化，进行积极的引导。
"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
父母应该如何与孩子沟通？	父母和孩子沟通的方式有哪些？	"沟通是相互的过程，是双方彼此互动、彼此影响的作用表现。父母在对子女提出
要求的同时，也要接受子女对于自身提出的要求，时刻进行主动的沟通与交流，不能
因子女未成年等因素限制，而只要求子女听话，剥夺子女表达意见的权利。在学习习
惯的养成中，主动与孩子沟通，是父母需要重点关注的内容。为此，家长要积极主动
的加入到与学生的互动当中，增加与学生的交流时间，承担起与学生沟通的主导者责
任，主动找学生聊天，在不经意间通过聊天的方式来了解孩子遇到的问题以及后续的
改进方向，帮助孩子树立学习信心。
"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
父母与孩子的沟通渠道可以有哪些？	为什么父母需要拓宽与孩子交流的渠道？	"现代社会，信息技术快速发展，网络发达，手机、电脑这些电子产品不仅是在城
市，在农村也同样是非常普遍，这也为人们的交流提供了便利的条件。家长要拓宽亲
子交流沟通的渠道，利用网络，家长会等来增加与学生的交流形式来影响学生的学习
习惯。学生们与父母的交流不但可以通过语音的方式与父母沟通，而且还可以通过图
像，视频等更直观的感受来与父母进行交流。不论父母在何处，都可以通过家校通、
师生通、家长微信交流群、家长 QQ 交流群等这些先进的网络互动平台，及时的掌握
学生在学校的学习状态，学校的教学安排等有关学生学习的关键信息，扩充学生与父
母交流的话题。例如，笔者观察到杨同学的父母在学校组织的亲子活动中很少出现，
但是杨同学的成绩以及生活状态都相对较好。多方了解后才知道杨同学虽然是一个留
守儿童，父母都在深圳打工，平时跟奶奶住在一起，奶奶年纪大，对他的学习帮不上
任何的忙，只能对其进行生活上的照顾，但是父母通过微信班级群和老师进行沟通，
了解杨同学的课堂听课，作业完成和平时考试的状况，对做得优秀的地方，父母会在
视频通话的时候给予表扬，错误的地方予以纠正，借助于手机和网络，杨同学与父母
的亲子关系一直很和谐，沟通也很顺畅，因此在学习方面也比很多的同学更加优异。
"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
家长应该如何树立学习榜样	为什么家长需要树立学习榜样	"考虑到父母的文化素养与孩子的成材有较大的相关性，家长需要清晰地认识到，
学习既是学生与学校的事情，也是家长的事情，尤其是家庭环境对培养孩子良好的学
习、生活习惯具有重要的教育价值，父母的言传身教和潜移默化是任何学校教育不可
替代的。所以，家长方面需要对自身的不良习惯等进行改变，营造安静温馨、舒适和
谐的家庭氛围来帮助学生培养良好学习习惯。同时，家长需要为孩子做好榜样作用，
在学生学习的时候，不看电视、打牌等干扰到学生的学习；当学生对于学习问题存在
疑惑以及不解的时候，能够想办法帮助学生更好地理解相关内容。
"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
家长应该如何营造学习氛围		"现阶段教育改革要求学生具有良好的实践精神以及创新意识，家庭生活期间也需
要做好孩子创新思维以及实践能力的培养工作，让孩子摆脱死记硬背的死读书模式，
用宽松、愉悦的氛围来激发学生的求学热情。学生的学习并不局限到课堂知识内容的
学习，家庭生活中的看电视、打游戏以及旅游等也都是学习的重要组成部分，劳逸结
合的情况下，学习效率才能够大幅度提升，学生的身心健康才有保障。家庭学习氛围
的创建是一个动态作用的过程，要求家长努力提升个人的文化素养与内涵，消除不良
的生活习惯，构建民主、沟通、宽松的人文环境来帮助学生培养钻研、探索的学习兴
趣；硬件方面要求家长在居室设计、物品摆放以及书籍购买等方面展现出舒适性与温
馨感，让家庭真正成为学生心灵的栖息地，每天沐浴着学习的春风，求知欲望得到更
好地滋润与养护。
"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
家长应该如何培养孩子的独立习惯		"很多家长在教育孩子的过程中，一方面要求孩子对待学习和生活中的问题要自己
想办法解决；另一方面却对孩子没有信心，总担心孩子没有办法做到独立学习，担心
孩子学习不自觉，因此，总在孩子学习的时候，一而再、再而三地以“关心”为名打扰
孩子独立学习。殊不知，家长这种不信任孩子，“舍不得”让孩子独立学习、自己解决
问题的做法，不仅会滋长孩子的依赖心理，让孩子养成过分依赖的习惯，而且会使孩
子无法集中精神专注地学习，影响其记忆力。事实上，充分地信任孩子，让孩子独立
学习，不但能培养孩子独立分析和解决问题的能力，还能提高孩子的记忆力。因此，
家长应该培养孩子独立学习的习惯，让孩子认真地对待作业，鼓励他们遇到问题时独
立思考，帮助他们通过自己动手查资料来解决问题，而不是直接干涉孩子的学习过程。"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
为什么让孩子拥有独立习惯很重要		"爱因斯坦说过：“学会独立思考和独立判断比获得知识更重要，不下决心培养思考习惯的人，将失去生活的最大乐趣。”可见，家长一定要培养孩子独立思考以及学习的能力。独立的学习习惯要有独立思考问题的能力，与孩子的交流期间，可以慢慢的引导他们去发现问题，解决问题，启发学生多思考问题的可能性，不要遇到困难的时候，直接告诉答案，家长要提供解决问题获取答案的方法，和孩子共同想办法，找答案，促使他们提高解决问题的能力，养成独立自主的学习习惯。
"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
什么是适当的教育方式？		"研究分析明确，在教养方式中，和谐民主占家庭相处模式的大多数，符合当前社会发展的基本国情；部分家庭亲子关系紧张，家庭成员相处简单粗暴，孩子往往失去自己的个性，惧怕与父母的沟通，体会不到父母对他们的爱；部分家长对孩子不管不问，放任自由，孩子在这种家庭教育下成长，往往不具有责任心，行为和学习情况都相对放纵，缺乏足够的安全感，难以形成健全的人格。联系生态系统理论以及社会学习理论明确，父母的教养方式这一重要的环境要素会对孩子的学习习惯带来重要的影响作用。在实际生活期间，家长需要联系自身家庭的教养方式特点，帮助孩子培养优良的学习习惯。
"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
如何在家庭教育中运用民主？	什么是民主教养模式？	"经过大量的研究和实践对比，发现最科学的，最有效的家庭教养方式是民主教养方式，严慈相当是这种教养方式最大的特点。父母在与学生的相处过程中是平等民主的朋友关系，尊重学生的处事行为，家庭中的事物当中来，做自己力所能及的事情，欣赏学生的做事方法，把学生当朋友，让学生能参与到让他们从中锻炼自己的执行力，掌握做事的方法，让学生在生活中学习，在学习中生活，并体会到学习的快乐和生活的乐趣，理解劳动的意义。家长在学生学习上给予充分的鼓励和表扬，让他们自己通过实践去探索和发现一些有趣的东西，充分的重视学生的动手能力，开启学生的发散思维，发挥他们的创造力和想象力，激发学习的热情，促进他们养成自己动手，自觉探索的自主学习习惯。如果家庭属于是民主模式的教养方式，就需要进一步总结经验，完善教养方式，以温暖、理解和民主式教养方式进一步促进孩子在智力、人格、心理素质方面健康的发展，促进孩子学习成绩的提高。
"	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
为什么专制教育模式不好？	专制型家长要避免什么？	在专制型的家庭中，父母与学生的亲子互动是建立在家长权威下的压迫式关系，亲子交流紧张、沟通有障碍，家长对学生的专制，强权态度，会造成学生强烈的逆反心理，这种情况下他们通常采取批评惩罚的方式来达到教育学生的目的。因此，在专制型亲子互动模式下，家长与学生围绕学习进行互动的过程，都会使用负强化，彰显家长的威严。偶尔的惩罚措施来促进学生的学习固然是好的，但学生在家长长期的负强化下，学生在学习上产生了依赖和顺从，虽然学生为了避免遭到的惩罚，遵从了家长的意愿，而这样学生对学习就更缺少必要的动力，更失去了对知识追求的兴趣。如果是专制型的家长，建议在与学生进行互动时使用正强化方法，通过激励来关心和关爱学生，让学生在学习中树立自信心，往往比使用负强化更能激发他们学习的动力，养成主动学习的好习惯。	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
为什么放养孩子不好	工作忙的家长可以做什么	放任型的教养家庭当中，父母因为工作忙或是家庭结构的原因，对学生只养不教，亲子关系冷淡，缺少足够的关注和教育，对学生的学习不闻不问，任由他听之任之，导致学生性格孤僻焦躁、做事冲动，对他们的行为没有规则约束，缺乏对社会的责任心和对自我的控制力，容易受外界因素的干扰，养成一些不好的行为习惯。因此，针对这种放任型的家庭，建议家长首先要把和学生的沟通交流纳入到日程中去，利用吃饭时间，睡前时间和学生聊聊学校的事，谈谈自己的见闻，其次要了解学生的兴趣、特长，尽可能的抽时间参加学生的集体活动，改变和学生的交流模式来引导行为习惯的改变，使学生养成一个良好的学习习惯。	"[1]莫申杰. 亲子关系对初中生学习习惯的影响研究[D].湖南农业大学,2020."
